command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,gain,reset,deadband,cycletime,rate,setpoint,control_mode,control_scheme,pump,solenoid,crc_rate,measurement,time,result
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-2.29E+17,1.085673379,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-9.14E+17,1.237984595,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-3.66E+18,1.161190387,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-1.46E+19,1.050195713,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-5.85E+19,1.078090374,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-2.34E+20,1.125744041,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-9.36E+20,1.217235021,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-3.74E+21,1.084897302,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-1.50E+22,1.030177085,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-5.99E+22,1.187109332,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-2.40E+23,1.238665824,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-9.59E+23,1.238196677,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-3.83E+24,1.06350704,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-1.53E+25,1.042410152,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-6.14E+25,1.175061227,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-2.45E+26,1.095307489,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-9.82E+26,1.095120366,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-3.93E+27,1.017269912,1
4,4,183,233,9,18,3,10,3,10,0,41,19,115,0.2,0.5,1,0,20,0,1,0,0,0,-1.57E+28,1.284342941,1
